상태,위도,경도
1,38.5415632,128.4011698
0,38.47536242,128.433911
0,38.46994488,128.4201732
1,38.45228384,128.4575787
1,38.44232647,128.4225502
1,38.43790849,128.445548
1,38.37747251,128.469268
1,38.37481725,128.4132719
1,38.33030719,128.5228551
1,38.31327498,128.531691
1,38.27349703,128.5496636
0,38.26968953,127.5438958
1,38.26649857,128.3742231
1,38.26382502,127.1651064
1,38.25964671,128.2091074
1,38.25262445,127.4137804
1,38.23869965,127.4704112
1,38.236716,128.5506824
1,38.23556039,127.4340877
1,38.22978557,128.2084026
1,38.22465587,127.2322875
1,38.21783608,128.5912407
0,38.21474083,128.0922733
1,38.21448044,127.2107151
1,38.20643144,127.29819
1,38.1995894,128.5663097
1,38.19560796,128.597843
1,38.19520939,128.3295557
1,38.19117537,128.5765664
1,38.18872959,127.5999639
1,38.18800426,128.5870121
1,38.18754424,127.3190607
1,38.17665835,127.6717139
1,38.17572359,127.5352627
1,38.17388792,128.6036219
1,38.17094649,128.2090143
1,38.16385246,128.5406759
1,38.15726831,127.6498123
1,38.15665481,127.250432
1,38.14931172,128.604019
1,38.14917705,128.016294
1,38.14859667,128.1087265
1,38.14673675,127.3056221
1,38.14066006,128.257366
1,38.12096156,127.5317106
1,38.1200759,128.2003157
1,38.11600911,127.2941455
1,38.10970087,128.0352577
1,38.1090269,127.6684899
1,38.10533356,127.7090043
1,38.10196597,127.9907406
1,38.09051239,127.2767301
1,38.07721059,128.6223128
1,38.075763,128.1790637
1,38.07347608,128.5859968
1,38.07035529,127.5213885
0,38.065223,127.1130698
1,38.06407147,128.1698697
1,38.06010886,128.643086
1,38.05880829,128.3245679
1,38.05613429,127.0114077
1,38.05592339,128.6072735
1,38.05428474,127.8219222
1,38.05232468,127.0603441
0,38.0493017,126.9885433
1,38.04182728,128.557206
1,38.03164645,126.9209975
1,38.02846266,128.0765997
1,38.02815819,127.1916243
1,38.02451725,127.8823237
1,38.02255835,127.1341783
1,38.01809564,128.4747571
1,38.01703283,128.361211
1,38.01554791,128.6975064
1,38.0149306,127.2485415
1,38.00796115,127.335561
0,38.00327288,128.6307005
1,37.99860479,126.9168387
1,37.99793736,127.073456
1,37.98770975,128.5298998
1,37.98765718,127.0040115
1,37.981142,127.6072163
1,37.97573513,124.7183994
1,37.97353761,127.2605388
1,37.97158114,127.3293862
1,37.97091228,127.4544304
1,37.96806885,128.7581872
1,37.96405854,127.13155
1,37.95913481,128.3195531
1,37.95551547,128.3741239
1,37.95367934,124.6913658
1,37.94840002,127.0542972
1,37.94664173,127.1873348
1,37.94510642,128.7858283
1,37.94221164,126.6774433
1,37.94110756,126.8377205
1,37.94053114,127.00081
1,37.93270307,128.06213
1,37.92544617,128.7768186
1,37.92430639,127.051882
1,37.91487784,127.3210089
1,37.9145559,127.0638932
1,37.91393961,126.8956912
1,37.91310365,127.2909522
1,37.91103259,127.7535989
1,37.90782274,127.0595209
1,37.90491868,127.2018289
1,37.90344134,126.8379443
1,37.90095042,127.0593652
1,37.89791716,127.026723
1,37.89774374,128.8269361
1,37.89516186,127.7524775
1,37.89409406,127.047868
1,37.89172361,127.0615679
1,37.88946909,127.0509935
1,37.88915886,127.7230279
1,37.88654988,128.8265957
1,37.88588992,127.0523779
1,37.88424751,127.7578954
1,37.88275286,127.7441988
1,37.87992234,127.5489599
1,37.8785033,128.78861
1,37.87711017,127.7429418
1,37.87584991,127.7295218
1,37.87496549,127.7215798
1,37.87456041,127.7607376
1,37.87078341,127.7381412
1,37.86900971,127.7313182
1,37.86871807,126.9878894
1,37.86828065,127.1922414
1,37.86787159,128.0170862
1,37.86546585,126.786696
1,37.86540698,126.7982744
1,37.86445369,127.7497968
1,37.86434145,127.0228788
1,37.86107342,126.8366371
1,37.86103413,127.7220621
1,37.86001569,127.514535
1,37.85871503,127.7264712
1,37.85796285,126.9633825
