폐교여부,위도,경도
0.0,37.27287316392908,127.07043655247348
0.0,36.09820765433466,129.4279836737467
0.0,34.478429735056665,126.04821805802588
0.0,36.36676937745171,127.37738229961624
1.0,36.25552012301734,127.85978703492675
0.0,33.51514646657701,126.55269978202749
0.0,34.80823035281473,126.40491719109929
0.0,35.955951515620725,128.8354744423053
0.0,36.83632657916093,127.14699201507388
1.0,37.20210886443242,127.44867197048424
0.0,37.02725064092742,127.24481464354065
0.0,37.76746615254528,128.91484559735628
0.0,37.540433737495775,127.04705257007308
0.0,35.14454183008861,126.88388121095896
0.0,36.305852467671286,127.31687128499071
0.0,35.17690261958349,129.04657335957458
0.0,35.21469646462636,128.97966055647316
0.0,37.553250399680465,126.86203670629108
0.0,37.30035289818039,126.9826213152656
0.0,38.201515804333326,128.58119124291716
0.0,37.6189103434786,127.05527097564544
0.0,36.104048704352934,127.4981573216965
0.0,35.14579579581968,126.80474071513054
0.0,35.615511192707885,129.44679260224774
0.0,37.65525878416185,127.1840573271014
0.0,35.290397616655675,126.77573243238797
0.0,37.56271737294726,126.95332277319434
0.0,34.803069132508305,126.32253992947511
0.0,35.82026218624206,128.75446184372842
0.0,37.53166781118656,126.89945252689378
1.0,34.737847873093074,128.6284033001026
0.0,37.79521519098543,126.86971276066248
1.0,35.58207653187458,129.09968687901576
1.0,36.4477836904233,127.86558471054244
0.0,35.24394338849596,128.91183444645225
0.0,37.58570519870965,126.96936289782393
0.0,36.73775795322911,127.15081655772268
0.0,37.51313538533292,126.837425599699
0.0,37.24176175745094,127.48701809582776
0.0,33.263393795974935,126.36929211170315
0.0,33.483682089256945,126.41527821539572
0.0,34.79632342243485,126.39442095060105
0.0,34.80331536810081,126.43350529927824
1.0,34.13672587375959,126.64275403005621
0.0,34.18398418019615,126.4944849140247
0.0,34.96336185538303,127.7202872503607
0.0,35.23165746318773,128.5704244437612
0.0,35.233600827364626,128.90020388380034
0.0,35.80662353674461,128.55070862882687
0.0,35.918643474681176,126.82026729802328
0.0,35.10843000991099,129.02113238216222
0.0,36.98256559177753,126.92440470636416
0.0,36.16788250081663,128.18707402468058
0.0,36.75924322630135,127.17524163527351
0.0,36.243648201329506,127.08092514598913
0.0,37.88654987621192,128.82659574660184
0.0,37.49194115854334,127.08127555516377
0.0,37.34413499573202,127.11536534540652
0.0,37.36125407822328,126.92422067193478
0.0,37.27036063508467,127.05002281371858
0.0,37.416535610864685,129.1765877179223
0.0,38.22425433934586,127.26048944767908
0.0,37.49335050776881,126.90014620795128
0.0,37.484409345962376,126.73160390732487
0.0,37.39810478626259,126.94887598100176
0.0,37.224461190548936,127.05056938868412
0.0,38.28851375559225,128.54404423845622
0.0,35.15311005393361,129.01009278349648
0.0,38.04207582527033,128.5574845995053
0.0,37.43580645754368,126.75022700550178
1.0,38.06854666970821,127.69230765744072
1.0,35.803941081995994,128.15223797006962
1.0,35.76433009921076,129.01073187898498
0.0,34.930038147492205,128.08378788990632
0.0,35.19420977503266,129.06960886333724
0.0,35.19242902541389,129.0656029402167
1.0,34.97439458134039,127.88550042827532
0.0,36.824017359558795,126.44896463993014
0.0,35.85813170779301,126.72106065431628
0.0,37.4829367813849,126.85069690500508
1.0,37.418521991687314,129.063870343839
0.0,36.35761997546223,126.58438900782768
0.0,37.47357143092352,126.86707156684507
0.0,36.89430606558785,129.00585921399914
0.0,35.865694033562214,128.6252851356733
0.0,35.185383544083344,126.89928615767323
1.0,37.592752968399225,128.21856474155106
1.0,37.169880718736465,126.6262502037246
0.0,35.15862307636231,129.14388952150094
0.0,37.81927674476327,126.98302735666635
0.0,35.42366276349454,127.40374649946123
0.0,36.95842952682797,129.39222591014382
0.0,35.80184885766524,126.88946408490256
1.0,36.56543630063892,126.66402358660692
0.0,37.00835465069435,128.83386864938362
0.0,36.39589138806147,127.3996116170598
0.0,35.11640572704549,129.11560993059322
1.0,37.2107296649319,128.06396973358082
0.0,35.944538913864555,126.65432943916969
0.0,35.1933221438312,128.07431310661042
0.0,37.74474737207922,126.80706195709122
1.0,35.079833485703595,127.46354947466229
1.0,36.25132133716375,129.09239588289748
0.0,35.458090283883635,128.529181810444
0.0,37.61925429192433,126.91671483702663
0.0,36.32983344115792,127.45558920863041
1.0,35.65867308357761,126.10822311393444
0.0,34.755735234445,126.58237158966485
1.0,35.150436075478446,127.21844395618038
0.0,36.063212819516394,129.38062935804123
0.0,36.22341973932056,126.98914009211906
0.0,35.83763610161286,128.7028397908198
1.0,35.96746387856461,128.44712450896708
0.0,37.474303885685714,126.79672556276131
1.0,36.65792800617082,129.05962347897238
1.0,35.03132907055061,128.16102140021462
0.0,37.41168395526032,126.6744682342767
1.0,36.82029415310449,127.95238972003773
1.0,34.236549829869624,127.24968732911495
0.0,36.8765419782556,127.65445791719809
0.0,35.24053261438833,127.018729902451
1.0,34.05592851076617,127.29635085448908
0.0,35.964003783775155,126.68101028976841
0.0,37.602756175384066,126.66625844817708
0.0,37.389888486487116,127.115986488224
0.0,37.4544946583306,126.67381261304172
0.0,35.21043507103568,126.85734160136226
1.0,34.671333783907464,128.2453716216782
0.0,36.20283655910393,127.09318570978114
0.0,34.78734413678819,127.58296667344166
0.0,36.12179874481044,128.36525453183478
0.0,35.052912003088856,128.96531380349708
0.0,37.38580959775649,126.66901104485727
0.0,34.648420414395,126.8170227408247
0.0,36.87929051818206,128.52565938107887
0.0,35.75540064041331,128.37756279525598
0.0,35.156587470427105,128.92835437000886
0.0,35.942073207016286,126.68860370843711
1.0,37.10096106566776,127.29137190613608
0.0,34.511683643867315,127.76632270007043
1.0,34.87307392487028,128.3921157719059
0.0,33.465968427560036,126.3914602358725
0.0,33.231945156613854,126.2390265075374
0.0,33.47648128968354,126.54346542114638
1.0,34.74289919044964,127.74536249587109
1.0,34.70643058111023,127.70754380794304
0.0,34.960505842074106,127.51388534997707
0.0,36.23163912457075,128.72770297063605
1.0,34.932406481748565,127.87347365115288
0.0,35.203611956646235,129.06023410256873
0.0,35.19411154963269,126.89422005260369
0.0,35.41817679572956,126.44020920937477
0.0,35.81092557428997,127.14813708086564
0.0,35.168961819497106,126.90048752735092
0.0,35.854632243513386,128.52659978804206
0.0,35.02716584277665,126.71890718938904
0.0,36.629829433360335,126.97001832613087
