시도,주소,학교명,상태_x,위도_x,경도_x,위도경도,상태_y,위도_y,경도_y
충북,충청북도 충주시 중앙탑면 가곡로 2037. 가흥초등학교 (중앙탑면),가흥초등학교,1,37.07654983,127.8535674,37.07654982771457127.85356737710129,,,
경기,경기도 안산시 상록구 석호로384번지,각골초등학교,1,37.29281502,126.8733585,37.29281502381024126.87335850666707,,,
경북,경상북도 청도군 각남면 예리498,각남초등학교,1,35.64269528,128.6572139,35.642695276567345128.65721390862845,,,
충북,충청북도 청주시 청원구 오창읍 오창중앙로 47-8. 각리초등학교 (오창읍),각리초등학교,1,36.70664773,127.4239828,36.70664772685527127.42398277129287,,,
전남,전라남도 구례군 간전면간전중앙로 164번지,간문초등학교,1,35.17725419,127.5420274,35.17725418602227127.54202741223429,,,
강원,강원도 고성군 간성읍 신안리192번지,간성초등학교,1,38.37747251,128.469268,38.37747250565013128.46926799747243,,,
전북,전북 완주군 용진면 간중리616-1,간중초등학교,1,35.89089358,127.1812693,35.89089358151156127.18126929491972,,,
경기,경기도 용인시 기흥구강남동로 61,갈곡초등학교,1,37.27119692,127.1335505,37.27119691614595127.13355045581379,,,
전북,전북 임실군 강진면 갈담리347번지,갈담초등학교,1,35.53110525,127.1655581,35.53110525408029127.16555810622091,,,
강원,강원도 정선군 고한읍고한로300,갈래초등학교,1,37.19500783,128.8663941,37.19500783083558128.8663941286642,,,
경기,경기도 의왕시 내손동780,갈뫼초등학교,1,37.37660697,126.9722933,37.376606967704966126.97229333530709,,,
충남,충청남도 홍성군 갈산면 상촌리70,갈산초등학교,1,36.60242065,126.5545394,36.602420645497475126.55453937747042,,,
충북,충청북도 청주시 서원구 남이면 저산척북로 375(남이면. 갈원초등학교),갈원초등학교,1,36.56874656,127.3965768,36.56874655656127127.39657678662293,,,
경남,경상남도 하동군 금성면 금성로521,갈육초등학교,1,34.94871862,127.7839899,34.948718621635535127.78398990114685,,,
경남,경상남도 진주시 사들로 173(충무공동),갈전초등학교,1,35.1829423,128.1489857,35.18294230234285128.14898573141255,,,
경기,경기도 화성시 향남읍 발안로 701-23(향남읍.갈천초등학교),갈천초등학교,1,37.12738708,126.9806894,37.12738707861579126.98068936714594,,,
경기,경기도 파주시 탄현면 평화로591번길 76(탄현면),갈현초등학교,1,37.77190783,126.7169297,37.77190782584228126.7169296584494,,,
경남,경상남도 창원시 의창구 북면 감계로140번길 51(북면),감계초등학교,1,35.30033888,128.588601,35.30033888347541128.58860103556367,,,
충북,충청북도 음성군 감곡면 장감로 207. 감곡초등학교 (감곡면),감곡초등학교,1,37.11610732,127.6444842,37.11610732255416127.64448416508142,,,
충북,충청북도 괴산군 감물면 오성리81-1,감물초등학교,1,36.83905078,127.8715928,36.839050781686616127.87159281453744,,,
충남,충청남도 연기군 금남면 감성리46,감성초등학교,1,36.4435358,127.2890552,36.44353580172481127.28905524323271,,,
부산,부산광역시 사상구 괘감로132(감전동),감전초등학교,1,35.15578442,128.9882742,35.15578442151766128.98827424992078,,,
경기,경기도 김포시 태장로 821 . 감정1초등학교 (장기동),감정1초등학교,1,37.63487508,126.6781602,37.634875083796274126.67816018383176,,,
부산,부산광역시 사하구 감천동 10-2,감정초,0,35.09698646,129.0108629,35.096986464073424129.01086293615046,,,
부산,부산광역시 사하구 옥천로 130(감천동.감정초등학교),감정초등학교,1,35.09698646,129.0108629,35.096986464073424129.01086293615046,,,
경북,경상북도 예천군 감천면 덕율리 143,감천초덕율분교장,0,36.70467625,128.5052492,36.70467625282404128.50524917210822,,,
부산,부산광역시 사하구 원양로 368-2(감천동.감천초등학교),감천초등학교,1,35.08341204,129.0075433,35.083412036694476129.0075432604824,,,
경북,경북 예천군 감천면 덕율리143번지,감천초등학교덕율분교장,0,36.70467625,128.5052492,36.70467625282404128.50524917210822,,,
경북,경북 예천군 감천면 덕율리143번지,감천초등학교덕율분교장,1,36.70467625,128.5052492,36.70467625282404128.50524917210822,,,
경북,경북 예천군 감천면 덕율리143번지,감천초등학교덕율분교장,0,36.70467625,128.5052492,36.70467625282404128.50524917210822,,,
경북,경북 예천군 감천면 덕율리143번지,감천초등학교덕율분교장,1,36.70467625,128.5052492,36.70467625282404128.50524917210822,,,
경북,경북 예천군 보문면 옥천리242번지,감천초등학교옥천분교장,0,36.7095152,128.5555325,36.7095152040755128.55553252030836,,,
경북,경상북도 경주시 감포읍 감포로10길21,감포초등학교,1,35.81000189,129.5018376,35.810001889508946129.50183759176474,,,
인천,인천광역시 강화군 강화읍 갑룡길 88. 갑룡초등학교 (강화읍.갑룡초등학교),갑룡초등학교,1,37.7437261,126.5034668,37.74372609694194126.50346681999369,,,
강원,강원도 횡성군 갑천면 하대리 44,갑천초금성분교장,0,37.53812912,128.1622316,37.53812911594103128.16223162261682,,,
강원,강원도 횡성군 청정로262번지,갑천초등학교,1,37.55741564,128.107992,37.55741563676282128.10799198703594,,,
강원,강원 횡성군 갑천면 하대리44번지,갑천초등학교금성분교,1,37.53812912,128.1622316,37.53812911594103128.16223162261682,,,
강원,강원도 횡성군 갑천면 갑천로 605(갑천면. 금성분교),갑천초등학교금성분교장,0,37.53812912,128.1622316,37.53812911594103128.16223162261682,,,
강원,강원도 횡성군 갑천면 하대리605번지,갑천초등학교금성분교장,1,37.52706501,128.1530824,37.52706501300028128.15308236640072,,,
충남,충청남도 논산시 강경읍 산양길45 (산양리 237),강경산양초등학교,1,36.14753668,127.0219967,36.14753668141618127.021996668274,,,
충남,충청남도 논산시 강경읍 황산리34번길 5(강경읍 황산리 31-2),강경황산초등학교,1,36.15785505,127.0130335,36.157855053112286127.01303347769462,,,
경북,경상북도 영덕군 강구면나비산길 8,강구초등학교,1,36.35720358,129.3785286,36.357203581956746129.37852864333522,,,
울산,울산광역시 남구 중앙로166번길 51(달동.강남초등학교),강남초등학교,1,35.53790738,129.3188044,35.53790738204048129.31880438583406,,,
충북,충청북도 청주시 흥덕구 강내면 태성탑연로 117. 강내초등학교 (강내면),강내초등학교,1,36.5971031,127.3568245,36.59710309545688127.35682452839458,,,
충남,충청남도 서산시 부석면 인정로 183번지(강당리 510번지),강당초등학교,1,36.66196273,126.4013554,36.66196273106205126.4013553695517,,,
경북,경상북도 경주시 강동면 단구리 1147,강동초단구분교장,0,36.05140801,129.2442136,36.05140800539766129.2442136285699,,,
